address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,currency,homeStatus,livingArea,price,yearBuilt
Princeton,NJ,1 Audubon Ln,,8540,7,5,USD,FOR_SALE,,2450000,1958
Princeton,NJ,174 Moore St,,8540,2,3,USD,FOR_SALE,1602,999000,1935
Princeton,NJ,88 Stony Brook Ln,,8540,8,7,USD,FOR_SALE,9977,4500000,2015
Princeton,NJ,44 Park Pl UNIT 2,,8542,1,2,USD,FOR_SALE,722,529000,1920
Princeton,NJ,145 Ridgeview Cir,,8540,6,5,USD,FOR_SALE,4770,1695000,2018
Princeton,NJ,194 Constitution Dr,,8540,6,6,USD,RECENTLY_SOLD,5384,1556200,1960
Princeton,NJ,37 Stoney Brook Ln,,8540,7,5,USD,RECENTLY_SOLD,,2725000,2009
Princeton,NJ,379 Prospect Ave,,8540,2,4,USD,RECENTLY_SOLD,2463,960500,1963
Princeton,NJ,134 Jefferson Rd,,8540,2,3,USD,RECENTLY_SOLD,1748,730000,1925
Princeton,NJ,487 Kingston Rd,,8540,6,4,USD,RECENTLY_SOLD,4428,1840000,2005
Princeton,NJ,85 Overbrook Dr,,8540,3,4,USD,RECENTLY_SOLD,2326,999995,1950
Princeton,NJ,229 Mount Lucas Rd,,8540,2,3,USD,RECENTLY_SOLD,2002,785250,1925
Princeton,NJ,487 Prospect Ave,,8540,3,5,USD,RECENTLY_SOLD,2656,957000,1960
Princeton,NJ,94 North Rd,,8540,7,5,USD,RECENTLY_SOLD,5866,2800000,1934
Princeton,NJ,743 Prospect Ave,,8540,2,3,USD,RECENTLY_SOLD,1691,1060000,1941
Princeton,NJ,10 Leonard Ct,,8540,8,6,USD,RECENTLY_SOLD,,3300000,2003
Princeton,NJ,91 Snowden Ln,,8540,,,USD,RECENTLY_SOLD,3126,1202000,1950
Princeton,NJ,73 Harriet Dr,,8540,2,3,USD,RECENTLY_SOLD,,665000,1947
Princeton,NJ,120 Bouvant Dr,,8540,5,6,USD,RECENTLY_SOLD,5638,1550000,1987
Princeton,NJ,23 Wilkinson Way,,8540,3,4,USD,RECENTLY_SOLD,,757000,1993
Princeton,NJ,205 Christopher Dr,,8540,5,4,USD,RECENTLY_SOLD,3846,1460000,1996
Princeton,NJ,546 Ewing St,,8540,5,4,USD,RECENTLY_SOLD,,1535000,2016
Princeton,NJ,4 Windermere Way,,8540,4,4,USD,RECENTLY_SOLD,4881,1275000,1998
Princeton,NJ,126 Moore St,,8540,5,4,USD,RECENTLY_SOLD,2800,1549000,1920
Princeton,NJ,280 Ridgeview Rd,,8540,4,4,USD,RECENTLY_SOLD,2917,850000,1970
Princeton,NJ,35 Maidenhead Rd,,8540,3.5,3,USD,RECENTLY_SOLD,2350,735000,2000
Princeton,NJ,29 Linwood Cir,,8540,4,5,USD,RECENTLY_SOLD,3264,1229000,1964
Princeton,NJ,55 Baldwin Ln,,8540,5,4,USD,RECENTLY_SOLD,4536,1399000,1984
Princeton,NJ,316 Brickhouse Rd,,8540,2,2,USD,FOR_RENT,2700,3500,1993
Princeton,NJ,15 Snowden Ln,,8540,3,4,USD,RECENTLY_SOLD,2700,999000,1950
Princeton,NJ,61 Cleveland Ln,,8540,4,5,USD,RECENTLY_SOLD,3205,1400000,1950
Princeton,NJ,261 State Rd,,8540,3,4,USD,RECENTLY_SOLD,,610000,1957
Princeton,NJ,25 Fitch Way,,8540,6,5,USD,RECENTLY_SOLD,5372,1430000,1993
Princeton,NJ,419 Franklin Ave,,8540,4,4,USD,RECENTLY_SOLD,2880,1385000,2013
Princeton,NJ,6 Stonewall Cir,,8540,3,3,USD,RECENTLY_SOLD,,826500,1998
Princeton,NJ,60 Pheasant Hill Rd,,8540,6,4,USD,RECENTLY_SOLD,5192,1625000,1967
Princeton,NJ,347 Prospect Ave,,8540,3,4,USD,RECENTLY_SOLD,2471,1043000,1970
Princeton,NJ,4 Garrett Ln,,8540,5,5,USD,RECENTLY_SOLD,5913,2695000,2020
Princeton,NJ,225 State Rd,,8540,3,4,USD,RECENTLY_SOLD,2100,650000,1955
Princeton,NJ,24 Charlton St,,8540,5,4,USD,RECENTLY_SOLD,3455,1512500,1995
Princeton,NJ,3 Windermere Way,,8540,5,4,USD,RECENTLY_SOLD,6024,1212121,1998
Princeton,NJ,22 Autumn Hill Ln,,8540,4,4,USD,RECENTLY_SOLD,3434,653000,1980
Princeton,NJ,238 Gallup Rd,,8540,3,5,USD,RECENTLY_SOLD,,999999,1968
Princeton,NJ,84 Wilson Rd,,8540,4,4,USD,RECENTLY_SOLD,,1100000,1955
Princeton,NJ,52 Arreton Rd,,8540,6,6,USD,RECENTLY_SOLD,7534,1875000,1917
Princeton,NJ,90 Brooks Bnd,,8540,,,USD,RECENTLY_SOLD,6349,1925000,1989
Princeton,NJ,104 Bayard Ln,,8540,4,5,USD,RECENTLY_SOLD,,1040000,1910
Princeton,NJ,84 Bayard Ln,,8540,4,4,USD,RECENTLY_SOLD,2581,1255000,1948
Princeton,NJ,24 Balcort Dr,,8540,4,5,USD,RECENTLY_SOLD,,870000,1960
Princeton,NJ,313 Rodney Ct,,8540,3,4,USD,RECENTLY_SOLD,2348,789000,1993
Princeton,NJ,17 Chestnut St,,8542,4,4,USD,RECENTLY_SOLD,2120,842000,1920
Princeton,NJ,754 Great Road E,,8540,7,5,USD,RECENTLY_SOLD,7276,2300001,2011
Princeton,NJ,49 Humbert St,,8540,2,3,USD,RECENTLY_SOLD,1580,700000,1930
Princeton,NJ,21 Maclean St,,8542,1,2,USD,RECENTLY_SOLD,,495000,1900
Princeton,NJ,5 Lafayette Rd W,,8540,7,5,USD,RECENTLY_SOLD,6176,2050000,1938
Princeton,NJ,59 Stetson Way,,8540,6,7,USD,RECENTLY_SOLD,,2000000,1968
Princeton,NJ,505 Ewing St,,8540,4,5,USD,RECENTLY_SOLD,2670,1325000,2017
Princeton,NJ,1324 Stuart Rd,,8540,5,6,USD,RECENTLY_SOLD,5324,1620000,1987
Princeton,NJ,61 N Tulane St,,8542,2,3,USD,RECENTLY_SOLD,1344,923000,1920
Princeton,NJ,100 Brooks Bnd,,8540,6,5,USD,RECENTLY_SOLD,6349,1925000,1989
Princeton,NJ,180 Mercer St,,8540,6,6,USD,RECENTLY_SOLD,,1447223,1903
Princeton,NJ,105 Greenway Ter,,8540,,,USD,RECENTLY_SOLD,7371,2665000,2004
Princeton,NJ,191 Snowden Ln,,8540,4,4,USD,RECENTLY_SOLD,,1340000,1965
Princeton,NJ,55 Stonewall Cir,,8540,3,3,USD,RECENTLY_SOLD,2555,825000,1999
Princeton,NJ,107 Westcott Rd,,8540,3,3,USD,RECENTLY_SOLD,2032,825018,1951
Princeton,NJ,17 Dempsey Ave,,8540,,,USD,RECENTLY_SOLD,,810000,
Princeton,NJ,31 Billie Ellis Ln,,8540,1,1,USD,RECENTLY_SOLD,581,104168,1990
Princeton,NJ,51 Pettit Pl,,8540,5,5,USD,RECENTLY_SOLD,4219,1204100,1997
Princeton,NJ,167 Hamilton Ave,,8540,2,3,USD,RECENTLY_SOLD,1354,785000,1942
Princeton,NJ,41 Armour Rd,,8540,3,5,USD,RECENTLY_SOLD,,1403000,1955
Princeton,NJ,11 Stonewall Cir,,8540,3,3,USD,RECENTLY_SOLD,3151,830000,1997
Princeton,NJ,18 Maybury Hill Rd,,8540,4.5,5,USD,RECENTLY_SOLD,4458,1575000,2002
Princeton,NJ,1 Queenston Pl,,8540,3,4,USD,RECENTLY_SOLD,2066,1025000,1933
Princeton,NJ,405 Basin St,,8540,3,4,USD,RECENTLY_SOLD,2398,900000,2020
Princeton,NJ,121 Winfield Rd,,8540,6,4,USD,RECENTLY_SOLD,,2295000,1950
Princeton,NJ,208 Library Pl,,8540,3,4,USD,RECENTLY_SOLD,2788,1500000,1930
Princeton,NJ,658 Snowden Ln,,8540,2,3,USD,RECENTLY_SOLD,1576,730000,1965
Princeton,NJ,83 Winfield Rd,,8540,6,4,USD,RECENTLY_SOLD,,1718000,1984
Princeton,NJ,354 Franklin Ave,,8540,4,4,USD,RECENTLY_SOLD,2449,835000,1946
Princeton,NJ,23 Trewbridge Ct,,8540,4,3,USD,RECENTLY_SOLD,2350,770000,2000
Princeton,NJ,63 Valley Rd,,8540,2,3,USD,RECENTLY_SOLD,1238,700000,1947
Princeton,NJ,132 Mercer St,,8540,4,4,USD,RECENTLY_SOLD,,1610000,1860
Princeton,NJ,1221 Stuart Rd,,8540,2,5,USD,RECENTLY_SOLD,,715000,1968
Princeton,NJ,371 Franklin Ave,,8540,2,3,USD,RECENTLY_SOLD,1542,550000,1961
Princeton,NJ,123 Longview Dr,,8540,3,3,USD,RECENTLY_SOLD,2083,837000,1955
Princeton,NJ,815 Mount Lucas Rd,,8540,4,3,USD,RECENTLY_SOLD,2372,1250000,
Princeton,NJ,660 Pretty Brook Rd,,8540,4,4,USD,RECENTLY_SOLD,4626,1875000,1971
